id,en_word,type,definition,classification,source
i35405,beaten,verb,be superior,Common,LLM (ministral-3:14b) (LLM Selected Sense #13)
i18102,collected,adjective,brought together in one place,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i13985,forced,adjective,forced or compelled,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i18109,hammered,adjective,shaped or worked with a hammer and often showing hammer marks,Common,LLM (ministral-3:14b)
i18110,hand-held,adjective,small and light enough to be operated while you hold it in your hands,Common,LLM (ministral-3:14b)
i27706,held,verb,have or hold in one's hands or grip,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i18112,streaming,adjective,exuding a bodily fluid in profuse amounts,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i5954,filled,adjective,(usually followed by `with' or used as a combining form) generously supplied with,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i34964,fitted,verb,be the right size or shape; fit correctly or as desired,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i4578,operating,adjective,being in effect or operation,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i18125,parked,adjective,that have been left,Common,LLM (ministral-3:14b)
i18128,penciled,adjective,drawn or written with a pencil,Common,LLM (ministral-3:14b)
i6758,pitched,adjective,set at a slant,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i18130,played,adjective,(of games) engaged in,Common,LLM (ministral-3:14b)
i8871,plugged,adjective,completely obstructed or closed off,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i18132,posed,adjective,arranged for pictorial purposes,Common,LLM (ministral-3:14b)
i18134,posted,adjective,publicly announced,Common,LLM (ministral-3:14b)
i18136,punishing,adjective,resulting in punishment,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i18137,pursued,adjective,followed with enmity as if to harm,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i18138,ranging,adjective,wandering freely,Common,LLM (ministral-3:14b)
i18143,shrieked,adjective,uttered in a shrill scream as of pain or terror,Common,LLM (ministral-3:14b)
i18147,squashed,adjective,that has been violently compressed,Common,LLM (ministral-3:14b)
i18148,stacked,adjective,arranged in a stack,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i28500,strung,verb,string together; tie or fasten with a string,Common,LLM (ministral-3:14b) (LLM Selected Sense #5)
i32943,sought,verb,try to get or reach,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i110305,life,noun,the condition of living or the state of being alive,Core,LLM (ministral-3:14b) (LLM Selected Sense #3)
i84878,reason,noun,a rational motive for a belief or action,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
